pop_number,name,character,category,product_line,release_year,exclusivity,variant_flags,counts_toward_total,source,source_url,needs_review,notes
3,Spider-Man,Spider-Man,peter,Pop! Marvel,,,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
3,Spider-Man Black & White,Spider-Man,peter,Pop! Marvel,,Fugitive Toys,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
3,Spider-Man Metallic,Spider-Man,peter,Pop! Marvel,2011,SDCC 2011,metallic,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
3,Spider-Man Red/Black,Spider-Man,peter,Pop! Marvel,,Hot Topic,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
15,Spider-Man,Spider-Man,peter,Pop! Marvel,,,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
15,Spider-Man Glow-in-the-Dark Chase,Spider-Man,peter,Pop! Marvel,,Gemini,chase|glow,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
15,Spider-Man Glow-in-the-Dark Chase,Spider-Man,peter,Pop! Marvel,,Japan,chase|glow,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
15,Spider-Man Metallic,Spider-Man,peter,Pop! Marvel,,Japan Blu-Ray Set,metallic,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
15,Spider-Man Metallic,Spider-Man,peter,Pop! Marvel,2012,SDCC 2012,metallic,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
19,Spider-Man #300 (Comic Cover),Spider-Man,peter,Pop! Marvel,2023,Target Con 2023,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,
34,Peter Parker,Peter Parker,peter,Pop! Marvel,,Comikaze,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
35,Spider-Man (Art Series),Spider-Man,peter,Pop! Marvel,,Target,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,
45,Spider-Man,Spider-Man,peter,Pop! Marvel,,,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
45,Spider-Man Metallic,Spider-Man,peter,Pop! Marvel,,Japan Premiere,metallic,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
51,Spider-Man in Spider-Mobile,Spider-Man,peter,Pop! Rides,,Walgreens,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,true,also listed by: cc; Pop! Rides vehicle; not flagged oversized
79,Black Suit Spider-Man,Spider-Man,peter,Pop! Marvel,,Walgreens,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
79,Black Suit Spider-Man Glow-in-the-Dark,Spider-Man,peter,Pop! Marvel,,Walgreens,glow,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
81,Spider-Man 2099,Spider-Man 2099,spider_verse,Pop! Marvel,,Walgreens,,false,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc; in the funkypriceguide core checklist but not a Peter Parker Spider-Man figure; flip counts_toward_total to false if the shelf stat should be strictly Peter-only
98,Spider-Man (Miles Morales),Miles Morales,spider_verse,Pop! Marvel,,Marvel Collector Corps (MCC),,false,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc; in the funkypriceguide core checklist but not a Peter Parker Spider-Man figure; flip counts_toward_total to false if the shelf stat should be strictly Peter-only
107,Iron Spider,Spider-Man,peter,Pop! Marvel,,Walgreens,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
160,Spider-Man Action Pose,Spider-Man,peter,Pop! Marvel,,Marvel Collector Corps (MCC),,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
187,Scarlet Spider,Scarlet Spider,spider_verse,Pop! Marvel,,Walgreens,,false,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc; in the funkypriceguide core checklist but not a Peter Parker Spider-Man figure; flip counts_toward_total to false if the shelf stat should be strictly Peter-only
195,Spider-Man (Stealth Suit) Glow-in-the-Dark,Spider-Man,peter,Pop! Marvel,,Hot Topic,glow,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
220,Spider-Man,Spider-Man,peter,Pop! Spider-Man: Homecoming,,,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,"also listed by: cc, psg"
220,Spider-Man (with Web Wings),Spider-Man,peter,Pop! Spider-Man: Homecoming,,Marvel Collector Corps (MCC),,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,"also listed by: cc, psg"
221,Spider-Man (Unmasked),Spider-Man,peter,Pop! Spider-Man: Homecoming,,Hot Topic,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,"also listed by: cc, psg"
222,Spider-Man (Homemade Suit),Spider-Man,peter,Pop! Spider-Man: Homecoming,,,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,"also listed by: cc, psg"
223,Spider-Man (Homemade Suit) (Unmasked),Spider-Man,peter,Pop! Spider-Man: Homecoming,,Walmart,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,"also listed by: cc, psg"
224,Peter Parker,Peter Parker,peter,Pop! Spider-Man: Homecoming,,,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,"also listed by: cc, psg"
225,Tony Stark (Holding Helmet),Tony Stark,friends_foes,Pop! Spider-Man: Homecoming,,SDCC 2017,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-homecoming-checklist/,false,
226,Tony Stark,Tony Stark,friends_foes,Pop! Spider-Man: Homecoming,,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-homecoming-checklist/,false,
227,Vulture,Vulture,friends_foes,Pop! Spider-Man: Homecoming,,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-homecoming-checklist/,false,
227,Vulture (Glow),Vulture,friends_foes,Pop! Spider-Man: Homecoming,,GameStop,glow,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-homecoming-checklist/,false,
233,Superior Spider-Man,Superior Spider-Man,friends_foes,Pop! Marvel,,Walgreens,,false,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,true,also listed by: cc; in the funkypriceguide core checklist but not a Peter Parker Spider-Man figure; flip counts_toward_total to false if the shelf stat should be strictly Peter-only
259,Spider-Man (Hanging),Spider-Man,peter,Pop! Spider-Man: Homecoming,,Walmart,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,"also listed by: cc, psg"
265,Spider-Man (with Headphones),Spider-Man,peter,Pop! Spider-Man: Homecoming,,,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,"also listed by: cc, psg"
270,Spider-Man (Big Time Suit),Spider-Man,peter,Pop! Marvel,,Walgreens,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
287,Iron Spider,Spider-Man,peter,Pop! Marvel,,,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
287,Iron Spider Red Chrome,Spider-Man,peter,Pop! Marvel,,Popcultcha,metallic,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
300,Iron Spider with Spider Legs,Spider-Man,peter,Pop! Marvel,,Target,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
302,Gwenom Spider-Man,Gwenom,spider_verse,Pop! Marvel,,,,false,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,true,also listed by: cc; in the funkypriceguide core checklist but not a Peter Parker Spider-Man figure; flip counts_toward_total to false if the shelf stat should be strictly Peter-only
305,Iron Spider Unmasked,Spider-Man,peter,Pop! Marvel,,BoxLunch,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
313,Six Arm Spider-Man,Spider-Man,peter,Pop! Marvel,,Walgreens,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: cc
334,Spider-Man (White Spider),Spider-Man,peter,Pop! Spider-Man (Gamerverse),,GameStop,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,"also listed by: cc, psg"
395,Spider-Man (Unmasked),Spider-Man,peter,Pop! Spider-Man (Gamerverse),,,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,true,"name disagreement: fpg='Spider-Man'; psg='Spider-Man (Unmasked)'; cc='Spider-Man (White-Spider) Gamerverse'; also listed by: cc, psg"
